Brand,Category,Notes,Country,Wiki,Image
Toyota,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672536/Vocal4Local/Toyota/ox1p6psq4xu67ofkgdqu.png
Volkswagen,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672538/Vocal4Local/Volkswagen/tjcky295eend3e0wmpjv.jpg
Daimler,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672540/Vocal4Local/Daimler/x8vwyz8zrkcsimpzhtpm.jpg
BMW,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672542/Vocal4Local/BMW/eesespl9dtkeajvhbmiq.jpg
Honda,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672544/Vocal4Local/Honda/yqztu1wjia9gjenrdbnb.png
General Motors,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672546/Vocal4Local/GeneralMotors/uigo2osybiix54zug7ov.png
Ford,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672564/Vocal4Local/Ford/mb7pisv1wjn0dxqql7bm.png
Nissan,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672566/Vocal4Local/Nissan/unozj8d03q4p5ufyljrk.jpg
Hyundai,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672568/Vocal4Local/Hyundai/qafeh6yizrqsj0eymwhm.jpg
Renault,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672570/Vocal4Local/Renault/nexigosqebtakrkpzdgg.jpg
FIAT,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672571/Vocal4Local/FIAT/bq58jnrvvguhpayflmhn.jpg
KIA,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672573/Vocal4Local/KIA/mk1bljnwko9gxbbx0v50.png
Suzuki,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672575/Vocal4Local/Suzuki/ziqhlr0goay9qr9xffs3.png
Maruti,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672577/Vocal4Local/Maruti/lgwkcoop9mhzaysjw3qv.png
Mazda,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672578/Vocal4Local/Mazda/lrcxuzwk2pyxl6cidaty.jpg
Peugeot,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672580/Vocal4Local/Peugeot/lvzala2uhykd0ndjhkvu.png
Porsche,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672582/Vocal4Local/Porsche/wf6kqh4htg2fxakea8zd.jpg
Mitsubishi,Cars,Cars,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594672584/Vocal4Local/Mitsubishi/kzoyyxa2ozeqncwtnlvb.png
Bingo,chips,"Chips, ",India,"Pulse Chips are completely baked and are an extremely good source of protein & dietary fibre. Bingo! Potato Chips. ""Apna Asli Flavour, Bhoolna Never"".",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068160/Vocal4Local/Bingo/ohowyfqmz4mbarhteyne.jpg
Yippe,chips ,Noodles,India,Yippee! was born out of the need for better noodles.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068163/Vocal4Local/Yippe/fce3wo5cgbuj959pmd2a.png
Cadbary,choclate,Chocolate,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068121/Vocal4Local/Cadbary/egu9qcnhtmryz0haxblb.jpg
Ferro Rocher,choclate,Chocolate,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068122/Vocal4Local/FerroRocher/bt17nahfoyubrgwwgzho.png
Hershey'S,choclate syrup,Syrup,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068127/Vocal4Local/Hershey%27S/vgqgwxusncneg5eip9mm.png
Louis Philippe Jeans,Clothing,Clothing,India,Louis Philippe is a premium Indian brand of men's apparel.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902951/Vocal4Local/LouisPhilippeJeans/kccpan8ri3abuwserupj.png
American Swan,Clothing,Clothing,India,"02-Sep-2013 Â· Anurag Rajpal, Director & CEO, The American Swan Lifestyle Company.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902952/Vocal4Local/AmericanSwan/yomaq5azoz28v0thk60p.jpg
Da Milano,Clothing,Clothing,India,Company Profile.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902959/Vocal4Local/DaMilano/s9m16a66udn3ep3fhzp5.jpg
The Collective,Clothing,Clothing,India,"The accessory brands repertoire includes celebrated names such as Love Moschino, Tateossian, Michael Kors and Lulu Guinness and more.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902960/Vocal4Local/TheCollective/e7ugcrqsidkdisaeslpg.png
Killer,Clothing,Clothing,India,This brand is targeted to the customers between the age group of 16 to 25 years. Killer Jeans is one of the largest selling denim brands in India.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902967/Vocal4Local/Killer/j5gwmgxqzkiaizcdyvw6.jpg
Parx,Clothing,Clothing,India,"Raymond Group is an Indian branded fabric and fashion retailer, incorporated in 1925. It produces suiting fabric, with a capacity of producing 31 million meters of wool and wool-blended fabrics. The group owns apparel brands like Raymond, Raymond Premium Apparel, Park Avenue, Park Avenue Woman ColorPlus & Parx.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902969/Vocal4Local/Parx/uryngy3npnfd0jdso53l.png
Byford,Clothing,Clothing,India,"Byford is a village and civil parish on the River Wye in Herefordshire, England, about 11 km (7 mi) west of Hereford.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902971/Vocal4Local/Byford/h54lfhdq9xb85ql1w3il.png
Ruggers,Clothing,Clothing,India,1997 â The marketing and distribution network of the Newport brand was strengthened and the relaunched Flying Machine and Ruggers brand wereÂ .,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902973/Vocal4Local/Ruggers/tfdus22r91r8f5mngorb.jpg
John Players,Clothing,Clothing,India,The company also released several series of association football trading cards in the 1930s under the Player's brand.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902975/Vocal4Local/JohnPlayers/ehaej4lyud56sgjd5g9p.png
Urban Rangers,Clothing,Clothing,India,"Urban Rangers may refer to: A fictional scouting group on the show Ed, Edd n Eddy Â· Los .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902976/Vocal4Local/UrbanRangers/g2ygwx3vg6viwwqpejrr.png
Proline,Clothing,Clothing,India,Proline is an Indian apparel brand which was born in 1983.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902978/Vocal4Local/Proline/xsqc263doyjyrrx8jktf.png
Sf Jeans,Clothing,Clothing,India,"Pantaloons Fashion & Retail Limited is an Indian clothing retail chain. The first Pantaloons store was launched in Gariahat, Kolkata in 1997.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902980/Vocal4Local/SfJeans/xkcormzq6coxzw83kj9z.png
Indian Terrain,Clothing,Clothing,India,"Indian Terrain was launched in 2000 and it de-merged from Celebrity Fashions Limited, the parent company, in 2010.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902981/Vocal4Local/IndianTerrain/hsahqitlvuhldacqqbmu.png
Fort Collins,Clothing,Clothing,India,"The integration of trend-setting designs and styles and attractive, eye-catching colors, together make IHM, s Jackets look apart from other brands.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902982/Vocal4Local/FortCollins/upqbtdydsjzrft0zqtdi.png
Duke,Clothing,Clothing,India,"Duke Manufacturing Co. designs and manufactures commercial foodservice equipment for major restaurant chains, schools, and institutions.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902984/Vocal4Local/Duke/qsaoxqdz3v1smpxhw0hn.png
Campus Sutra,Clothing,Clothing,India,Campus Sutra is a youth brand for apparels and accessories based on a slice of life of a young person in India.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902988/Vocal4Local/CampusSutra/v2l6cfhvckw3r0pzpza2.png
Skult,Clothing,Clothing,India,"As per the company statement, SKULT has been built on the principle of 'fashion meets functionality and design meets innovation', is an evolved style of athleisure Â .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902989/Vocal4Local/Skult/ujw0gcg8t0wyqsyfoyg7.png
Elements By Peter England,Clothing,Clothing,India,"Peter England was founded in 1889, Londonderry, Ireland to provide British soldiers with fine Khaki trousers during the Boer War.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902990/Vocal4Local/ElementsByPeterEngland/rmepl76wsdq1lkte1gmj.jpg
Fugazee,Clothing,Clothing,India,Fugazee is not just a clothing line it's an emotion of the streets.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902992/Vocal4Local/Fugazee/imjxvf8cy0elcbenlwvw.png
United Colors Of Benetton,Clothing,"Footwear, Clothing",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902994/Vocal4Local/UnitedColorsOfBenetton/kat0tpomtqt33vc9kfol.jpg
Us Polo,Clothing,"Footwear, Clothing",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902995/Vocal4Local/UsPoloAssociation/zqcijekzi8gzm6zzm8bl.png
Van Heusen,Clothing,Clothing,India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903003/Vocal4Local/VanHeusen/ck18i8rac2cpoepveca2.png
Izod,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903009/Vocal4Local/Izod/qnjyuweu3vjcyraud8oz.png
Arrow,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903011/Vocal4Local/Arrow/ee0kk7twconm3ulkzk5d.jpg
Jack N Jones,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903013/Vocal4Local/JackNJones/s1zk6qpjw2ecszobibey.png
Wrangler,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903015/Vocal4Local/Wrangler/huumgwpjcyoncznry5si.png
Pepe Jeans,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903016/Vocal4Local/PepeJeans/pltfukhbbzi1f4xjxbjl.png
Alan Jones,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903021/Vocal4Local/AlanJones/wyx27tei0yk6t68webvw.jpg
American Crew,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903022/Vocal4Local/AmericanCrew/mkqqqv7m7barr8nfcvcf.png
Marks & Spencer,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903024/Vocal4Local/MarksSpencer/p4z3qazsgl9evg8fnzro.jpg
Beat London,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903025/Vocal4Local/BeatLondon/cmyza8xrdeagocmbqwi4.jpg
Lotto,Clothing,"Footwear, Clothing",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903027/Vocal4Local/Lotto/fvwxjwapo0wlbimqqgrp.png
Marvel,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903123/Vocal4Local/Marvel/inaxx64kfy7uc42vslwg.jpg
Barbie,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903124/Vocal4Local/Barbie/ca4lzeac46q294uaaowp.png
Frozen,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903126/Vocal4Local/Frozen/bpjx1smhatnqgkmesweb.jpg
Spiderman,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903128/Vocal4Local/Spiderman/szijdpdaavgulvj8to57.jpg
Siyaram'S,Clothing,Clothing,India,"Siyaram Silk Mills, Ltd, also known as Siyaram's and as SSM, is an Indian blended fabric and .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903212/Vocal4Local/Siyaram%27S/snmzynmacwxtip8f5n37.png
Ed Hardy,Clothing,Clothing,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903216/Vocal4Local/EdHardy/c4nsb2zyxqf2j7dffwyk.jpg
Uspa,Clothing,"Footwear, Clothing",Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903218/Vocal4Local/Uspa/dz4xhkwh9vou6yvnubt4.png
Nanque,Clothing,Clothing,Argentina,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904165/Vocal4Local/Nanque/vgwahgqnb0pinwnfaqix.png
Signia,Clothing,Clothing,Argentina,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904167/Vocal4Local/Signia%28Sportswear%29/ylbhsuesnjnm46bh3ed9.jpg
2Wink,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904170/Vocal4Local/2Wink/o3av9qklgokwxywpiymc.png
2Xu,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904172/Vocal4Local/2Xu/hz4m4eljdvj6nzqfiugj.jpg
Akubra,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904173/Vocal4Local/Akubra/lepqhiajwpxthgejwdez.jpg
Alanic,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904177/Vocal4Local/Alanic/e0m0sg08c4m1r3sq374b.png
Arthur Galan Ag,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904178/Vocal4Local/ArthurGalanAg/eteibq0naruzc7nc4yzr.png
Aussiebum,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904180/Vocal4Local/Aussiebum/pkjorewz0c8f35zfeo67.png
Bellroy,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904181/Vocal4Local/Bellroy/febsgp0xyt6a4v5b1mtu.png
Berlei,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904185/Vocal4Local/Berlei/iq0yvrgj3fmvpwjpiprf.png
Billabong,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904186/Vocal4Local/Billabong%28Clothing%29/afh6vse2ijwdkub6cmwc.png
Blk,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904187/Vocal4Local/Blk%28Sportswear%29/wkia4mn4x9fsfqetjznj.png
Blundstone Footwear,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904191/Vocal4Local/BlundstoneFootwear/bpw4c7dnk1yp7ukafvbs.png
Bonds,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904193/Vocal4Local/Bonds%28Clothing%29/ta7pexukqw2lpxlefdfc.png
Boxa,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904194/Vocal4Local/Boxa/vi4gsgizk1u4exwdopjc.jpg
Calibre,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904198/Vocal4Local/Calibre%28Menswear%29/q3qd0tso6zcyfo2srbs6.png
Camilla And Marc,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904200/Vocal4Local/CamillaAndMarc/ad7wuhpunxbqq6qrntrg.png
Classic Sportswear,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904202/Vocal4Local/ClassicSportswear/ficwppu1ioowhv14xbfw.png
Coogi,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904206/Vocal4Local/Coogi/etokrzdphvewq6dkq197.jpg
Cotton On Group,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904207/Vocal4Local/CottonOnGroup/fa9m17c9c4zuitzlckax.png
Country Road,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904209/Vocal4Local/CountryRoad/sdh9tyqwn5aujlwgilk8.png
Driza-Bone,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904212/Vocal4Local/DrizaBone/alze6itwadfvx32jeqks.png
Ericaamerica,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904214/Vocal4Local/Ericaamerica/ugdhzg09grz1pqkb2kiw.jpg
Fi-Ta,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904215/Vocal4Local/FiTa/nitliahn0wnvpxhxr9sa.png
First Ever,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904220/Vocal4Local/FirstEver/kdhskfgo7frbidbhi5pi.jpg
Globe International,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904222/Vocal4Local/GlobeInternational/qi48bot3fyxf0rwmao8b.png
Golden Breed,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904223/Vocal4Local/GoldenBreed/d7uupiry5hv82dcrp3fs.jpg
Hard Yakka,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904226/Vocal4Local/HardYakka/pvkor4dcdisxx9ti9jdr.png
Haydenshapes Surfboards,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904227/Vocal4Local/HaydenshapesSurfboards/l9zmhuvag3vbjzo93zae.png
Hot Tuna Clothing,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904228/Vocal4Local/HotTunaClothing/g3rxarfjvqasbunzd13h.jpg
I.Am.Gia,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904230/Vocal4Local/IAmGia/hall8yluujkm0mnism4c.png
Isc,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904232/Vocal4Local/Isc%28Sportswear%29/vmhufgaa6fvtqw40c074.png
Kinggee,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904233/Vocal4Local/Kinggee/l63wg7hiwextjlaxm73o.jpg
Ksubi,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904235/Vocal4Local/Ksubi/xb8zywy2amn12x07qtav.png
Leviathan,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904237/Vocal4Local/Leviathan%28Clothing%29/zsczrlhplikcuzrmjive.jpg
Limited Edition Sportswear,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904239/Vocal4Local/LimitedEditionSportswear/o3feejcofxccusx3z2w1.png
Lorna Jane,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904240/Vocal4Local/LornaJane/uva9hyvwlqv0bel1yxoz.png
Lover,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904243/Vocal4Local/Lover%28Clothing%29/xm9kqxogon3axowofhzf.png
Mooks Clothing Company,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904244/Vocal4Local/MooksClothingCompany/g1eoq9dunribpnbxrrun.png
Mountain Designs,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904246/Vocal4Local/MountainDesigns/unpblo1k0bkitne6vigo.png
Ocean & Earth,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904247/Vocal4Local/OceanEarth/vymzonikmuokvmxkfv1e.jpg
Oroton,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904249/Vocal4Local/Oroton/y2fcqopsdpvbz2yor93y.png
Pacific Brands,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904250/Vocal4Local/PacificBrands/nwoqiul0vb73nh3my8xm.png
Paolo Sebastian,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904252/Vocal4Local/PaoloSebastian/qgkzmohwtpkediysgycu.png
Pelaco,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904254/Vocal4Local/Pelaco/povzrnvc5cjnkdhj7j1i.png
Piping Hot,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904255/Vocal4Local/PipingHot%28Surfwear%29/vxsjolafaycrhsvud3hz.png
Quiksilver,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904257/Vocal4Local/Quiksilver/b0nqxznn5mi3pflpyvl2.png
R. M. Williams,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904258/Vocal4Local/RMWilliams%28Company%29/n1bl6wexyioqmdjrcnxf.jpg
Rip Curl,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904261/Vocal4Local/RipCurl/mhxwkgrmojhwm31jdqlc.png
Saba,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904262/Vocal4Local/Saba%28Clothing%29/anliedzdbwxcixdgz4zv.png
Sass & Bide,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904264/Vocal4Local/SassBide/lrr4kd0j7k68xj0oajqw.jpg
Seafolly,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904266/Vocal4Local/Seafolly/g1p37nxzgcldkielkbp4.png
Sting Sports,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904267/Vocal4Local/StingSports/l99azbdfur3yhlrmrgdw.png
Stubbies,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904269/Vocal4Local/Stubbies%28Brand%29/vqenabhzhw9ioqaftv5s.jpg
SuprÃ©,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904271/Vocal4Local/Supr%C3%A9/xnjtgnehzuco4ptnmwcl.png
Tarocash,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904273/Vocal4Local/Tarocash/hal7ewwfq0ltecihzy71.png
Une Piece,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904275/Vocal4Local/UnePiece/sbkehjdy4kjmuybprn7l.png
Watersun Swimwear,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904277/Vocal4Local/WatersunSwimwear/jvd0u0y1rkzeengxyvbk.jpg
Way Funky,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904278/Vocal4Local/WayFunky/mxc16j1ao6v0glllfcdq.png
Wheels & Dollbaby,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904280/Vocal4Local/WheelsDollbaby/dgtw8pmcji1nn8rs189y.jpg
Wicked Weasel,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904282/Vocal4Local/WickedWeasel/ocpddnpq1ggbjopa1fes.png
Witchery,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904283/Vocal4Local/Witchery%28Company%29/nqckbpqyaez3utgv964s.png
Xblades,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904285/Vocal4Local/Xblades/msjgrmii7tidjktzhu8f.png
Zimmermann,Clothing,Clothing,Australia,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904286/Vocal4Local/Zimmermann%28FashionLabel%29/kpmfpwvpwoaf8ebateei.png
Aarong,Clothing,Clothing,Bangladesh,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904288/Vocal4Local/Aarong/ilgfwow7cykecvzueeiw.png
Ecstasy,Clothing,Clothing,Bangladesh,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904289/Vocal4Local/Ecstasy%28Clothing%29/qgeeytmbdbfl3p4cs9yp.png
Yellow,Clothing,Clothing,Bangladesh,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904292/Vocal4Local/Yellow%28Clothing%29/get17rcz3hqohilm5swg.jpg
Ann Demeulemeester,Clothing,Clothing,Belgium,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904294/Vocal4Local/AnnDemeulemeester/bqehtcwibqqjsycn6iyo.png
Kipling,Clothing,Clothing,Belgium,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904295/Vocal4Local/Kipling%28Brand%29/enyhfmpcl3a9qhxctgaw.png
Maison Margiela,Clothing,Clothing,Belgium,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904297/Vocal4Local/MaisonMargiela/psj8jjgbocibqzjnzxgp.png
Raf Simons,Clothing,Clothing,Belgium,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904298/Vocal4Local/RafSimons/uxdhoexrznbwvy2fjbic.png
Bosnia And Herzegovina Portal,Clothing,Clothing,Bosnia And Herzegovina,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904300/Vocal4Local/BosniaAndHerzegovinaPortal/mlbcbuacs9ijlkuis9dn.png
Haad,Clothing,Clothing,Bosnia And Herzegovina,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904301/Vocal4Local/Haad%28Company%29/xfvxftg5shgyw8mxgjht.jpg
Altitude Sports,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904303/Vocal4Local/AltitudeSports/t7dddjomdnorglwjkacn.png
User:Iockyrice/Sandbox,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904304/Vocal4Local/User:Iockyrice/Sandbox/awb0jlzi5dsenjehd0lh.jpg
Dean And Dan Caten,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904306/Vocal4Local/DeanAndDanCaten/nsaqonkrrob0o4xveceg.jpg
Denver Hayes,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904308/Vocal4Local/DenverHayes/u67yzfnrxpdhotyildg7.png
Gildan,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904309/Vocal4Local/Gildan/jlh0gp57hpa4uaz34ryi.png
Indochino,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904311/Vocal4Local/Indochino/wwh6hvfnmnqglutlvffz.png
Kit And Ace,Clothing,Clothing,Canada,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593904312/Vocal4Local/KitAndAce/fmw1mrclxou02zh9tu3n.png
